recency,frequency,monetary,segment
2014-11-12,22,1447,P0
2015-03-04,17,1188,P0
2014-12-09,20,1585,P0
2015-02-27,22,1626,P0
2015-03-04,20,1494,P0
2015-01-30,15,1074,P0
2015-02-03,29,1983,P0
2015-01-22,23,1577,P0
2015-02-23,17,1238,P0
2015-03-05,26,1776,P0
2014-11-23,25,1806,P0
2014-11-21,18,1089,P0
2015-03-13,22,1615,P0
2014-10-28,13,795,P2
2014-11-17,16,1091,P0
2014-11-05,16,1111,P0
2015-03-07,17,1069,P0
2014-10-23,15,975,P2
2014-09-25,20,1341,P0
2015-01-23,15,1073,P0
2014-12-02,21,1397,P0
2015-02-17,19,1354,P0
2015-02-21,16,1147,P0
2015-03-09,24,1712,P0
2015-02-09,21,1511,P0
2015-03-15,17,1241,P0
2015-01-11,17,1135,P0
2015-01-06,15,1019,P0
2015-03-08,12,683,P2
2015-01-03,20,1498,P0
2014-12-02,23,1576,P0
2015-01-08,18,1250,P0
2015-02-27,25,1749,P0
2014-11-24,15,977,P2
2015-02-22,26,1632,P0
2015-02-24,18,1257,P0
2014-09-24,25,1668,P0
2015-03-06,28,2071,P0
2015-02-23,15,1063,P0
2014-02-10,9,612,P2
2015-02-09,22,1598,P0
2014-10-09,13,939,P2
2014-12-06,24,1783,P0
2015-01-28,19,1387,P0
2015-01-28,20,1298,P0
2015-01-15,21,1406,P0
2015-03-03,27,1931,P0
2015-03-01,16,1136,P0
2015-03-08,15,1031,P0
2015-01-05,24,1760,P0
2014-12-18,14,1034,P2
2014-11-10,18,1227,P0
2015-01-13,19,1194,P0
2014-07-12,19,1356,P0
2015-02-09,17,1269,P0
2015-02-05,25,1726,P0
2014-05-25,15,963,P2
2015-02-18,17,1271,P0
2015-03-16,14,1047,P2
2015-02-02,16,1106,P0
2015-02-09,26,1836,P0
2014-11-13,17,1098,P0
2015-02-26,21,1518,P0
2015-03-14,19,1344,P0
2015-03-10,27,1892,P0
2015-02-07,16,1050,P0
2015-02-05,24,1807,P0
2015-02-12,27,1744,P0
2015-02-19,30,2020,P0
2014-08-03,16,1079,P0
2015-01-09,24,1775,P0
2014-10-11,15,948,P2
2015-02-13,18,1205,P0
2015-02-23,23,1648,P0
2014-12-04,21,1547,P0
2014-04-30,15,1027,P0
2014-11-08,19,1368,P0
2015-02-13,15,1093,P0
2015-03-05,29,2072,P0
2015-02-05,27,1766,P0
2015-02-28,21,1395,P0
2015-01-26,26,1853,P0
2014-09-12,12,885,P2
2014-12-07,14,973,P2
2015-01-01,14,902,P2
2015-01-07,19,1238,P0
2015-02-28,27,2036,P0
2015-01-16,13,861,P2
2015-03-13,25,1686,P0
2015-01-26,23,1710,P0
2015-02-02,21,1608,P0
2015-01-02,27,1978,P0
2015-03-16,17,1080,P0
2015-02-12,23,1733,P0
2015-02-14,15,1187,P0
2014-08-07,10,597,P2
2015-03-06,20,1379,P0
2014-12-30,22,1433,P0
2015-02-24,14,853,P2
2015-01-01,22,1495,P0
2015-02-28,23,1586,P0
2014-08-28,18,1089,P0
2015-02-19,16,1153,P0
2015-01-28,13,928,P2
2015-03-04,21,1550,P0
2014-09-08,18,1279,P0
2015-01-03,16,1087,P0
2015-03-10,15,941,P2
2015-03-08,18,1449,P0
2014-09-09,18,1305,P0
2015-02-18,19,1223,P0
2015-01-09,11,614,P2
2015-02-17,18,1182,P0
2015-01-15,18,1263,P0
2014-09-04,14,924,P2
2014-06-24,17,1184,P0
2014-11-10,14,914,P2
2014-09-24,19,1351,P0
2015-01-19,24,1739,P0
2015-01-29,19,1370,P0
2015-01-27,8,626,P2
2015-01-07,19,1425,P0
2014-12-25,16,1071,P0
2015-02-15,20,1490,P0
2014-08-21,18,1143,P0
2015-02-02,23,1735,P0
2014-12-06,23,1611,P0
2014-12-28,21,1425,P0
2015-03-16,19,1321,P0
2015-03-11,26,1854,P0
2014-12-25,30,1991,P0
2015-02-21,23,1685,P0
2014-12-21,15,1159,P0
2015-01-03,26,1883,P0
2015-01-16,13,855,P2
2015-03-02,20,1259,P0
2014-10-09,15,988,P2
2015-03-12,20,1437,P0
2015-01-20,24,1856,P0
2015-03-15,19,1128,P0
2015-01-12,21,1514,P0
2014-11-17,23,1621,P0
2015-02-11,22,1466,P0
2014-10-15,14,1086,P2
2015-02-23,16,1138,P0
2015-02-09,24,1803,P0
2015-03-03,24,1758,P0
2015-01-11,14,1156,P2
2014-11-19,21,1496,P0
2014-12-25,24,1685,P0
2015-01-03,28,1720,P0
2015-02-09,19,1330,P0
2015-03-05,18,1248,P0
2015-01-31,26,1743,P0
2015-03-13,16,1016,P0
2015-02-12,18,1292,P0
2015-01-16,28,1843,P0
2015-02-28,18,1291,P0
2015-02-22,26,1818,P0
2015-02-02,28,1782,P0
2014-10-29,15,949,P2
2014-12-10,20,1415,P0
2014-10-07,11,834,P2
2014-11-21,17,1152,P0
2015-03-15,24,1540,P0
2015-01-07,21,1440,P0
2015-02-15,25,1865,P0
2014-08-28,22,1486,P0
2015-02-24,17,1290,P0
2015-02-23,17,1157,P0
2015-02-14,17,1038,P0
2015-02-13,27,1970,P0
2015-01-21,18,1183,P0
2015-01-19,14,949,P2
2015-03-13,27,1868,P0
2014-12-21,14,1073,P2
2014-12-19,20,1411,P0
2015-03-09,17,1270,P0
2015-02-17,21,1288,P0
2015-03-06,19,1315,P0
2015-02-23,23,1810,P0
2015-01-18,24,1600,P0
2015-01-19,18,1389,P0
2014-09-01,22,1243,P0
2015-03-01,23,1847,P0
2014-12-21,10,808,P2
2015-02-13,17,1228,P0
2015-02-08,25,1547,P0
2015-02-18,26,1882,P0
2015-03-16,15,1156,P0
2014-07-01,19,1197,P0
2014-11-22,13,973,P2
2015-03-14,21,1540,P0
2014-12-03,17,1236,P0
2015-02-23,14,969,P2
2015-02-06,21,1587,P0
2015-02-23,20,1406,P0
2015-03-09,23,1710,P0
2015-03-09,17,1138,P0
2015-01-15,16,1092,P0
2015-01-22,23,1635,P0
2015-03-07,18,1318,P0
2015-03-03,25,1745,P0
2015-02-10,31,2120,P0
2015-01-19,17,1262,P0
2014-12-05,21,1331,P0
2015-03-07,17,1222,P0
2015-02-09,19,1337,P0
2014-12-27,23,1757,P0
2014-10-02,18,1244,P0
2015-02-16,17,1245,P0
2015-02-03,18,1126,P0
2014-07-11,18,1183,P0
2014-11-22,18,1334,P0
2015-02-05,27,2019,P0
2015-02-02,21,1627,P0
2015-01-11,15,910,P2
2015-02-23,16,1043,P0
2015-01-11,17,1267,P0
2015-01-07,19,1470,P0
2015-03-10,26,1623,P0
2014-11-02,15,1121,P0
2015-03-09,23,1619,P0
2015-02-03,17,1144,P0
2015-01-05,25,1935,P0
2015-02-22,18,1124,P0
2015-02-14,15,1063,P0
2014-10-08,14,1071,P2
2014-07-06,24,1682,P0
2014-08-19,14,826,P2
2015-02-06,22,1546,P0
2014-12-25,24,1569,P0
2014-02-17,19,1498,P0
2015-01-09,21,1452,P0
2015-03-01,22,1552,P0
2014-12-01,29,2179,P0
2015-03-09,29,2022,P0
2014-02-26,15,1088,P0
2015-02-03,17,1170,P0
2015-02-09,19,1254,P0
2014-10-08,20,1311,P0
2015-03-13,26,1823,P0
2015-03-13,20,1424,P0
2014-11-05,23,1582,P0
2015-01-30,22,1513,P0
2015-03-04,22,1615,P0
2014-10-31,21,1450,P0
2015-02-13,25,1876,P0
2015-01-02,19,1447,P0
2015-02-05,21,1568,P0
2015-01-04,29,1982,P0
2014-12-23,23,1648,P0
2014-11-30,14,968,P2
2014-12-24,23,1585,P0
2015-01-20,24,1673,P0
2015-03-06,16,1214,P0
2015-02-24,24,1717,P0
2015-01-21,21,1454,P0
2013-12-23,16,1207,P0
2014-12-30,22,1542,P0
2015-01-29,22,1472,P0
2015-02-16,28,2035,P0
2015-01-03,18,1321,P0
2014-11-27,26,1769,P0
2015-03-06,22,1507,P0
2015-01-21,16,982,P2
2014-09-18,16,1022,P0
2015-03-13,33,2330,P0
2015-03-04,21,1403,P0
2014-11-22,17,1305,P0
2014-11-29,18,1253,P0
2015-01-24,19,1379,P0
2014-08-25,20,1560,P0
2015-02-10,18,1360,P0
2015-02-12,22,1661,P0
2015-02-15,13,898,P2
2015-01-11,18,1222,P0
2015-02-21,11,681,P2
2015-02-24,26,1841,P0
2015-02-20,27,1868,P0
2014-12-02,21,1531,P0
2014-10-17,19,1458,P0
2015-03-07,26,1831,P0
2014-06-02,16,909,P2
2015-03-02,24,1822,P0
2014-12-30,17,1202,P0
2014-07-26,18,1112,P0
2015-02-22,22,1678,P0
2015-03-11,21,1454,P0
2015-03-16,27,2073,P0
2015-01-07,13,862,P2
2015-01-24,21,1487,P0
2015-02-18,24,1668,P0
2015-01-14,17,1165,P0
2014-12-06,18,1330,P0
2015-01-17,23,1660,P0
2015-03-08,29,2051,P0
2015-02-04,28,1817,P0
2015-03-12,18,1267,P0
2014-10-25,25,1598,P0
2015-02-19,20,1421,P0
2015-02-26,23,1584,P0
2015-01-11,23,1679,P0
2014-10-06,20,1539,P0
2014-11-24,16,1114,P0
2015-03-04,23,1682,P0
2014-11-07,20,1458,P0
2014-08-31,20,1335,P0
2015-03-15,24,1753,P0
2014-07-21,15,1105,P0
2015-02-12,24,1770,P0
2015-02-06,13,881,P2
2014-12-16,30,2193,P0
2015-01-10,21,1505,P0
2015-02-26,24,1550,P0
2015-02-22,25,1866,P0
2014-12-29,15,994,P2
2015-02-28,18,1156,P0
2014-12-25,19,1208,P0
2015-03-09,27,1859,P0
2015-01-28,24,1736,P0
2015-03-06,21,1420,P0
2015-01-23,22,1455,P0
2015-02-24,22,1569,P0
2014-10-13,26,1728,P0
2014-10-26,20,1340,P0
2015-02-12,21,1627,P0
2014-08-21,10,656,P2
2015-01-12,24,1763,P0
2015-02-10,25,1680,P0
2015-01-28,16,1225,P0
2014-12-01,9,717,P2
2015-01-28,19,1292,P0
2014-11-13,17,1247,P0
2015-02-12,20,1227,P0
2015-01-31,21,1323,P0
2015-01-09,18,1299,P0
2014-11-29,21,1552,P0
2014-10-09,24,1758,P0
2015-02-13,21,1445,P0
2015-01-26,20,1613,P0
2014-08-24,10,736,P2
2015-02-16,25,1768,P0
2014-10-16,18,1288,P0
2015-02-28,20,1283,P0
2015-01-20,18,1378,P0
2014-10-07,22,1498,P0
2015-02-01,11,796,P2
2015-01-06,23,1513,P0
2015-01-03,18,1338,P0
2015-01-27,25,1777,P0
2015-01-27,16,1082,P0
2015-02-22,15,1010,P0
2014-12-23,13,1063,P2
2014-12-21,24,1640,P0
2014-12-14,23,1641,P0
2015-01-07,12,834,P2
2014-10-17,15,1052,P0
2015-02-16,25,1732,P0
2015-03-06,11,687,P2
2014-08-18,15,989,P2
2014-11-03,13,847,P2
2014-10-13,21,1527,P0
2015-02-16,16,1084,P0
2015-01-31,15,1074,P0
2015-01-09,19,1492,P0
2015-02-03,25,1821,P0
2015-03-11,20,1353,P0
2015-01-14,18,1235,P0
2015-02-01,15,951,P2
2015-01-13,22,1676,P0
2014-11-26,22,1470,P0
2014-11-30,28,2054,P0
2015-01-11,20,1435,P0
2015-03-11,20,1333,P0
2015-02-14,20,1536,P0
2015-03-06,23,1647,P0
2015-03-10,18,1288,P0
2015-03-15,15,1122,P0
2014-08-19,20,1446,P0
2014-10-31,25,1816,P0
2015-02-01,27,1756,P0
2014-11-08,14,981,P2
2015-02-13,19,1493,P0
2015-01-06,30,1928,P0
2015-02-05,26,1746,P0
2014-09-16,16,1056,P0
2015-02-24,22,1607,P0
2015-01-18,21,1611,P0
2015-02-13,22,1423,P0
2015-02-13,23,1618,P0
2014-10-16,11,809,P2
2015-02-18,23,1513,P0
2015-02-12,28,1869,P0
2015-03-06,19,1246,P0
2015-03-03,15,938,P2
2015-03-13,19,1135,P0
2014-08-13,10,701,P2
2014-08-13,17,1329,P0
2015-02-19,21,1373,P0
2015-01-31,16,1166,P0
2015-03-07,16,1238,P0
2015-02-24,16,1169,P0
2014-12-06,20,1291,P0
2014-11-22,19,1374,P0
2015-02-03,23,1643,P0
2015-02-13,24,1520,P0
2015-03-03,17,1219,P0
2014-11-17,24,1572,P0
2015-01-26,16,1038,P0
2014-12-03,27,1968,P0
2014-10-18,23,1527,P0
2015-01-04,22,1355,P0
2014-11-27,20,1431,P0
2015-03-03,17,1131,P0
2015-01-17,18,1243,P0
2015-02-22,20,1456,P0
2015-02-23,16,1030,P0
2015-02-04,13,814,P2
2015-02-27,25,1892,P0
2015-02-14,20,1322,P0
2014-12-29,15,1216,P0
2014-11-05,18,1218,P0
2015-01-23,19,1231,P0
2015-02-28,19,1429,P0
2014-11-20,17,1070,P0
2015-03-08,16,989,P2
2015-01-22,22,1676,P0
2015-03-10,15,969,P2
2014-10-25,17,1164,P0
2015-02-06,10,747,P2
2014-12-07,19,1296,P0
2014-11-26,15,906,P2
2014-11-29,31,2098,P0
2014-11-30,15,1136,P0
2014-11-29,17,1142,P0
2015-02-13,21,1517,P0
2014-12-29,20,1418,P0
2015-03-16,25,1727,P0
2014-12-19,19,1318,P0
2014-09-11,19,1228,P0
2015-01-30,22,1561,P0
2015-01-30,19,1282,P0
2014-12-12,17,1211,P0
2015-03-15,28,1817,P0
2015-03-15,21,1678,P0
2015-02-11,17,1067,P0
2015-02-13,23,1573,P0
2014-05-25,17,1069,P0
2015-02-15,14,896,P2
2015-03-02,21,1515,P0
2014-09-29,17,1103,P0
2015-02-17,23,1600,P0
2014-12-08,24,1871,P0
2014-09-29,15,1001,P0
2015-01-22,11,927,P2
2014-11-18,16,1106,P0
2015-01-20,20,1505,P0
2014-08-16,23,1721,P0
2015-02-01,29,2049,P0
2014-03-25,13,981,P2
2014-12-31,20,1300,P0
2015-01-30,18,1291,P0
2015-01-22,25,1877,P0
2014-11-13,22,1619,P0
2015-03-06,21,1405,P0
2015-02-16,22,1517,P0
2015-02-15,17,1258,P0
2015-01-06,15,918,P2
2015-03-10,21,1293,P0
2015-03-08,25,1934,P0
2015-02-28,22,1524,P0
2015-01-31,21,1401,P0
2014-10-06,19,1373,P0
2014-12-13,17,1150,P0
2015-03-08,16,1164,P0
2015-01-16,20,1435,P0
2015-02-13,14,1014,P2
2015-02-16,23,1654,P0
2014-10-21,17,1132,P0
2015-02-09,19,1564,P0
2015-03-14,19,1122,P0
2014-11-14,26,1770,P0
2015-01-28,14,1106,P2
2015-03-06,24,1609,P0
2014-11-24,19,1391,P0
2015-01-04,18,1355,P0
2015-02-20,25,1886,P0
2015-02-14,17,1095,P0
2015-02-27,22,1477,P0
2014-12-31,18,1259,P0
2014-09-01,20,1352,P0
2014-10-11,28,1968,P0
2015-01-10,17,1283,P0
2015-01-21,22,1596,P0
2015-01-04,22,1490,P0
2015-01-18,24,1828,P0
2015-02-08,24,1588,P0
2015-02-20,19,1342,P0
2014-10-04,24,1661,P0
2015-01-04,17,1213,P0
2015-03-06,12,742,P2
2015-02-21,22,1670,P0
2015-02-25,27,1827,P0
2014-10-11,17,1200,P0
2015-01-20,12,851,P2
2015-03-16,18,1146,P0
2015-03-03,19,1464,P0
2015-03-11,16,1193,P0
2014-11-16,19,1305,P0
2014-02-21,10,774,P2
2014-11-11,16,1012,P0
2015-01-27,19,1237,P0
2015-03-05,13,999,P2
2015-03-15,17,1055,P0
2015-01-19,16,1114,P0
2015-01-21,22,1461,P0
2014-11-18,17,1243,P0
2015-03-15,17,1156,P0
2015-03-11,28,1901,P0
2015-03-06,24,1773,P0
2014-11-03,10,754,P2
2015-02-04,21,1590,P0
2015-01-10,15,1101,P0
2014-09-01,18,1218,P0
2015-02-11,15,990,P2
2015-01-11,24,1859,P0
2014-02-17,12,916,P2
2015-03-08,18,1303,P0
2015-02-08,25,1701,P0
2015-03-08,30,2006,P0
2015-02-15,20,1187,P0
2015-01-21,14,1075,P2
2015-02-18,29,1861,P0
2015-01-24,15,987,P2
2015-01-13,25,1814,P0
2015-03-16,21,1484,P0
2015-02-08,16,1061,P0
2015-02-22,12,747,P2
2014-12-11,23,1561,P0
2015-01-23,20,1442,P0
2015-02-21,22,1437,P0
2015-01-25,22,1609,P0
2015-02-05,20,1519,P0
2015-02-28,14,1199,P2
2015-03-14,20,1420,P0
2015-02-27,23,1516,P0
2014-12-22,12,923,P2
2015-01-10,21,1474,P0
2014-12-26,18,1244,P0
2015-02-14,28,1974,P0
2015-02-23,25,1768,P0
2015-02-25,25,1840,P0
2014-11-15,20,1484,P0
2015-02-08,17,1206,P0
2015-01-27,22,1426,P0
2014-12-19,18,1182,P0
2015-02-23,17,1211,P0
2015-03-07,13,783,P2
2015-01-13,16,993,P2
2015-01-26,15,1156,P0
2015-01-16,22,1649,P0
2015-01-27,21,1623,P0
2014-12-27,21,1510,P0
2015-02-18,22,1537,P0
2015-02-07,18,1180,P0
2015-02-20,30,2090,P0
2015-03-16,9,569,P2
2014-10-10,17,1157,P0
2014-08-28,18,1305,P0
2015-01-09,21,1387,P0
2014-10-25,35,2360,P0
2015-01-06,23,1540,P0
2015-02-12,21,1664,P0
2015-03-01,23,1629,P0
2015-02-07,27,1919,P0
2014-11-15,25,1762,P0
2014-09-25,12,926,P2
2015-02-25,21,1524,P0
2015-02-12,29,2135,P0
2014-12-04,12,828,P2
2014-11-22,17,1234,P0
2015-03-15,13,972,P2
2014-11-05,18,1164,P0
2014-11-26,19,1371,P0
2014-10-26,19,1423,P0
2015-01-21,23,1438,P0
2015-03-10,16,1164,P0
2015-01-17,26,1902,P0
2015-03-11,25,1690,P0
2015-02-01,26,1797,P0
2015-01-28,18,1296,P0
2014-12-24,19,1227,P0
2014-07-27,17,1180,P0
2014-10-01,22,1644,P0
2015-02-19,20,1507,P0
2015-02-22,14,858,P2
2015-02-19,17,1019,P0
2015-03-13,23,1830,P0
2015-02-19,25,1610,P0
2014-11-30,21,1460,P0
2014-07-16,15,1149,P0
2015-01-06,22,1712,P0
2014-11-28,20,1440,P0
2014-12-14,22,1454,P0
2015-01-19,16,952,P2
2015-02-13,27,1896,P0
2015-01-30,24,1729,P0
2015-02-04,29,2286,P0
2015-02-17,24,1816,P0
2015-02-27,20,1429,P0
2015-02-08,15,844,P2
2014-11-16,26,1874,P0
2015-02-27,26,1735,P0
2015-03-09,24,1788,P0
2015-01-13,23,1512,P0
2015-02-21,19,1273,P0
2014-11-13,18,1321,P0
2015-02-15,14,993,P2
2014-12-28,19,1427,P0
2015-01-18,30,1953,P0
2015-03-10,20,1398,P0
2015-02-05,20,1554,P0
2015-03-10,20,1530,P0
2015-03-15,15,1112,P0
2014-11-19,12,854,P2
2014-12-21,17,1411,P0
2014-12-17,24,1693,P0
2014-10-16,14,1025,P2
2014-11-25,13,978,P2
2014-12-25,29,1986,P0
2015-01-08,16,986,P2
2015-02-04,21,1305,P0
2015-03-02,29,2045,P0
2015-01-30,25,1665,P0
2014-12-21,15,1184,P0
2015-03-08,20,1474,P0
2015-02-12,22,1399,P0
2015-03-07,28,1731,P0
2015-02-02,22,1452,P0
2015-02-17,13,992,P2
2015-02-16,21,1560,P0
2014-05-28,16,1121,P0
2015-02-15,28,1913,P0
2015-01-29,21,1655,P0
2014-09-14,19,1269,P0
2014-12-06,23,1538,P0
2014-12-01,18,1292,P0
2015-03-13,16,1060,P0
2015-03-10,12,671,P2
2015-01-01,19,1280,P0
2015-02-07,26,1874,P0
2015-02-13,18,1101,P0
2015-01-14,29,2090,P0
2015-03-05,25,1615,P0
2015-02-03,20,1462,P0
2014-12-10,17,1268,P0
2014-11-22,20,1434,P0
2015-03-14,21,1498,P0
2015-03-01,23,1546,P0
2015-03-07,13,936,P2
2015-03-09,22,1635,P0
2014-09-10,18,1302,P0
2015-03-10,20,1366,P0
2015-02-19,20,1329,P0
2015-02-07,13,871,P2
2015-03-15,20,1369,P0
2015-01-21,16,1335,P0
2014-09-19,12,827,P2
2014-11-03,11,751,P2
2014-08-29,25,1667,P0
2014-11-20,21,1294,P0
2015-02-20,23,1722,P0
2015-01-26,21,1431,P0
2015-02-03,21,1446,P0
2014-07-01,14,1166,P2
2014-10-01,21,1395,P0
2015-02-22,20,1421,P0
2015-02-06,25,1698,P0
2014-12-19,20,1488,P0
2014-12-30,21,1401,P0
2014-04-01,16,1186,P0
2015-02-28,22,1736,P0
2015-02-11,18,1362,P0
2015-02-03,24,1725,P0
2015-01-02,19,1242,P0
2015-03-13,26,1813,P0
2015-03-02,25,1733,P0
2015-02-16,20,1317,P0
2014-11-23,25,1799,P0
2014-12-02,27,1962,P0
2014-08-31,14,1048,P2
2015-03-08,23,1528,P0
2014-12-06,24,1565,P0
2014-11-11,20,1295,P0
2015-02-06,18,1174,P0
2015-02-17,24,1525,P0
2015-03-12,15,1023,P0
2015-01-06,18,1284,P0
2014-11-28,23,1537,P0
2015-02-17,18,1225,P0
2015-02-22,17,1067,P0
2015-02-03,22,1571,P0
2014-11-23,18,1100,P0
2015-02-22,18,1256,P0
2015-01-06,22,1638,P0
2015-02-25,30,1983,P0
2014-11-09,23,1450,P0
2015-01-21,22,1526,P0
2015-03-01,15,957,P2
2015-01-07,18,1315,P0
2015-02-06,15,1091,P0
2015-02-10,17,1214,P0
2014-08-12,12,755,P2
2015-03-16,11,839,P2
2015-01-19,13,990,P2
2015-03-04,24,1639,P0
2015-03-06,27,1706,P0
2015-03-15,18,1323,P0
2015-01-29,18,1306,P0
2015-03-03,30,2202,P0
2015-03-14,25,1707,P0
2015-01-05,25,1671,P0
2014-06-18,17,1208,P0
2015-03-05,22,1474,P0
2015-01-11,11,763,P2
2015-02-27,22,1600,P0
2015-02-12,28,2099,P0
2014-07-26,20,1457,P0
2014-12-20,16,1157,P0
2015-01-08,14,934,P2
2015-02-14,18,1303,P0
2015-02-19,16,1098,P0
2014-12-30,21,1585,P0
2015-02-12,29,2060,P0
2014-12-20,24,1750,P0
2015-02-07,23,1702,P0
2015-02-20,29,2034,P0
2015-03-06,23,1641,P0
2015-01-21,19,1218,P0
2015-01-25,26,2003,P0
2014-11-15,19,1496,P0
2015-03-02,19,1381,P0
2015-03-09,21,1557,P0
2015-01-25,22,1668,P0
2015-03-12,23,1789,P0
2015-02-26,22,1609,P0
2015-03-14,18,1279,P0
2014-08-22,20,1352,P0
2014-12-29,21,1535,P0
2015-03-09,17,1102,P0
2015-01-04,16,1063,P0
2015-02-02,18,1148,P0
2015-02-15,20,1347,P0
2014-11-09,15,1034,P0
2015-02-18,22,1530,P0
2015-02-11,18,1104,P0
2014-10-20,11,762,P2
2015-01-14,19,1316,P0
2014-09-29,24,1509,P0
2015-03-03,24,1594,P0
2014-12-17,15,1082,P0
2014-10-24,17,1110,P0
2015-02-24,16,1134,P0
2014-12-31,23,1593,P0
2015-02-21,18,1385,P0
2015-02-08,16,1166,P0
2015-03-06,21,1401,P0
2015-01-08,21,1406,P0
2015-03-06,29,2018,P0
2015-02-21,20,1338,P0
2014-10-17,23,1596,P0
2015-02-26,27,1864,P0
2015-01-29,15,1131,P0
2015-02-26,25,1731,P0
2015-03-13,20,1292,P0
2015-02-24,14,873,P2
2014-10-25,18,1142,P0
2015-01-02,21,1455,P0
2015-01-27,20,1350,P0
2015-01-24,24,1794,P0
2014-12-08,28,2070,P0
2015-01-29,17,1250,P0
2015-02-20,24,1585,P0
2015-03-13,18,1299,P0
2015-02-17,24,1747,P0
2014-10-02,24,1800,P0
2015-02-10,18,1297,P0
2015-02-24,26,1813,P0
2014-07-09,18,1446,P0
2014-12-16,19,1295,P0
2015-02-02,29,2074,P0
2014-08-10,12,792,P2
2015-02-25,24,1733,P0
2014-09-29,18,1374,P0
2014-09-08,11,740,P2
2015-01-02,27,1829,P0
2015-03-09,19,1283,P0
2014-12-10,21,1493,P0
2015-01-09,19,1331,P0
2015-01-09,21,1301,P0
2015-02-18,17,1131,P0
2014-09-16,19,1392,P0
2014-10-14,16,1151,P0
2015-02-03,25,1779,P0
2015-02-27,23,1564,P0
2014-12-15,19,1346,P0
2015-01-16,21,1448,P0
2014-10-31,15,1095,P0
2015-01-26,23,1555,P0
2015-02-27,13,792,P2
2014-09-25,21,1356,P0
2015-03-06,14,1082,P2
2015-02-21,24,1734,P0
2014-11-03,25,1716,P0
2015-01-19,23,1442,P0
2015-02-07,25,1868,P0
2015-02-27,22,1488,P0
2015-02-23,21,1464,P0
2015-01-27,20,1507,P0
2015-02-17,21,1452,P0
2015-01-28,24,1670,P0
2014-10-22,29,2124,P0
2015-03-15,22,1674,P0
2015-02-28,29,2045,P0
2015-01-05,14,930,P2
2015-02-24,15,1007,P0
2015-03-01,21,1369,P0
2015-03-15,24,1677,P0
2015-01-04,23,1610,P0
2014-12-20,15,1028,P0
2014-12-27,20,1482,P0
2014-09-19,26,1801,P0
2014-07-25,11,781,P2
2014-09-15,21,1658,P0
2015-03-16,21,1399,P0
2015-02-14,28,1781,P0
2014-12-02,16,897,P2
2015-02-10,25,1527,P0
2014-09-06,24,1792,P0
2015-02-08,22,1536,P0
2015-01-07,19,1308,P0
2015-01-19,24,1823,P0
2014-09-23,17,1181,P0
2015-03-11,24,1724,P0
2015-02-27,19,1377,P0
2015-02-26,21,1304,P0
2015-01-27,24,1845,P0
2015-02-17,16,1188,P0
2015-02-10,21,1336,P0
2015-03-02,24,1673,P0
2015-03-06,26,1954,P0
2014-09-07,19,1259,P0
2014-11-27,28,1961,P0
2014-10-14,17,1289,P0
2015-03-10,25,1869,P0
2014-12-20,17,1185,P0
2015-01-18,27,1935,P0
2015-02-12,29,2039,P0
2015-01-10,16,1061,P0
2015-02-12,19,1412,P0
2015-03-05,23,1345,P0
2015-02-10,21,1511,P0
2014-12-21,20,1361,P0
2014-08-14,21,1490,P0
2014-12-19,26,1792,P0
2014-12-21,24,1749,P0
2015-01-12,21,1514,P0
2015-03-15,20,1474,P0
2015-03-07,24,1741,P0
2015-02-24,18,1313,P0
2015-03-09,21,1419,P0
2015-01-22,16,1044,P0
2015-03-11,15,977,P2
2014-09-02,13,966,P2
2015-03-11,21,1459,P0
2015-03-14,14,997,P2
2015-02-19,14,986,P2
2015-03-03,25,1581,P0
2014-10-27,17,1243,P0
2015-03-16,22,1449,P0
2015-01-27,26,1955,P0
2015-03-11,21,1550,P0
2014-11-25,18,1228,P0
2014-10-07,13,900,P2
2015-02-27,17,1227,P0
2015-03-06,21,1388,P0
2015-01-13,13,813,P2
2015-03-02,20,1394,P0
2014-12-13,30,2039,P0
2015-02-20,17,1227,P0
2014-12-19,21,1334,P0
2014-05-08,13,1077,P2
2015-01-05,17,1246,P0
2015-03-06,19,1306,P0
2014-08-04,17,1239,P0
2015-03-08,26,1911,P0
2015-03-05,31,2238,P0
2014-11-07,19,1348,P0
2014-09-02,17,1199,P0
2014-12-05,24,1581,P0
2015-01-28,16,1072,P0
2014-08-31,32,2382,P0
2015-02-01,25,1691,P0
2015-01-22,17,1093,P0
2015-01-27,17,1404,P0
2015-02-15,17,1191,P0
2015-03-10,29,2050,P0
2015-01-12,19,1251,P0
2014-11-30,13,778,P2
2015-03-02,16,1124,P0
2015-02-09,16,1178,P0
2015-01-22,30,2183,P0
2015-03-16,23,1639,P0
2014-12-25,16,1109,P0
2014-12-10,21,1363,P0
2014-10-05,13,793,P2
2014-09-04,18,1143,P0
2015-03-16,21,1425,P0
2015-01-23,24,1649,P0
2015-03-07,18,1314,P0
2015-03-07,21,1496,P0
2014-09-09,16,1029,P0
2014-08-27,19,1301,P0
2014-09-11,19,1317,P0
2014-12-25,19,1368,P0
2015-01-21,22,1387,P0
2014-08-25,14,897,P2
2015-03-06,21,1490,P0
2014-11-17,20,1470,P0
2015-03-14,20,1398,P0
2014-09-30,21,1562,P0
2014-11-28,18,1369,P0
2014-12-24,22,1543,P0
2015-03-05,23,1524,P0
2015-01-24,29,1955,P0
2014-08-02,16,1133,P0
2014-12-26,25,1720,P0
2014-12-18,20,1508,P0
